method,run_device,phase,path,ownership,kind,shape,dtype,device,storage_ptr,storage_offset,storage_bytes,logical_bytes,unique_physical_bytes,alias_of,python_shallow_bytes
DirBridge,cpu,after5,state.client_delay_group_probs,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,after5,state.group_ids,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.count_sketch_plan,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,after5,state.count_sketch_plan[0],method_owned,tuple_metadata,,,,,,0,0,0,,64
DirBridge,cpu,after5,state.count_sketch_plan[0][1],method_owned,tensor,"(8,)",torch.int64,cpu,94792444944192,0,64,64,64,,0
DirBridge,cpu,after5,state.count_sketch_plan[0][2],method_owned,tensor,"(8,)",torch.int8,cpu,94792447870400,0,8,8,8,,0
DirBridge,cpu,after5,state.group_centroids,method_owned,tensor,"(2, 8)",torch.float32,cpu,94792447239104,0,64,64,64,,0
DirBridge,cpu,after5,state.group_cache,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,after5,state.group_cache[0].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447751616,0,32,32,32,,0
DirBridge,cpu,after5,state.group_cache[1].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447191744,0,32,32,32,,0
DirBridge,cpu,after5,state.group_cache_stamp,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,after5,state.group_cache_delay,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,after5,state.group_members,method_owned,list_metadata,,,,,,0,0,0,,88
DirBridge,cpu,after5,state.group_members[0],method_owned,list_metadata,,,,,,0,0,0,,120
DirBridge,cpu,after5,state.group_members[1],method_owned,list_metadata,,,,,,0,0,0,,56
DirBridge,cpu,after5,state.group_counts,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,after5,state.group_weights,method_owned,list_metadata,,,,,,0,0,0,,72
DirBridge,cpu,after5,state.client_features,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.client_features[0],method_owned,tensor,"(8,)",torch.float32,cpu,94792447229568,0,32,32,32,,0
DirBridge,cpu,after5,state.client_features[1],method_owned,tensor,"(8,)",torch.float32,cpu,94792447191232,0,32,32,32,,0
DirBridge,cpu,after5,state.client_features[2],method_owned,tensor,"(8,)",torch.float32,cpu,94792446851008,0,32,32,32,,0
DirBridge,cpu,after5,state.client_features[3],method_owned,tensor,"(8,)",torch.float32,cpu,94792447865920,0,32,32,32,,0
DirBridge,cpu,after5,state.client_features[4],method_owned,tensor,"(8,)",torch.float32,cpu,94792447887488,0,32,32,32,,0
DirBridge,cpu,after5,state.client_features[5],method_owned,tensor,"(8,)",torch.float32,cpu,94792447889984,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.4.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447192704,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.4.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447193920,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.5.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447225664,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.5.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447226880,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.1.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447752896,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.1.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447754112,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.3.delta.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447755584,0,32,32,32,,0
DirBridge,cpu,after5,state.inflight.3.feature,method_owned,tensor,"(8,)",torch.float32,cpu,94792447756800,0,32,32,32,,0
DirBridge,cpu,after5,state.client_embeds,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.client_embeds[0],method_owned,tensor,"(8,)",torch.float32,cpu,94792447231488,0,32,32,32,,0
DirBridge,cpu,after5,state.client_embeds[1],method_owned,tensor,"(8,)",torch.float32,cpu,94792447233088,0,32,32,32,,0
DirBridge,cpu,after5,state.client_embeds[2],method_owned,tensor,"(8,)",torch.float32,cpu,94792447239680,0,32,32,32,,0
DirBridge,cpu,after5,state.client_embeds[3],method_owned,tensor,"(8,)",torch.float32,cpu,94792447239808,0,32,32,32,,0
DirBridge,cpu,after5,state.client_embeds[4],method_owned,tensor,"(8,)",torch.float32,cpu,94792447240000,0,32,32,32,,0
DirBridge,cpu,after5,state.client_embeds[5],method_owned,tensor,"(8,)",torch.float32,cpu,94792447240128,0,32,32,32,,0
DirBridge,cpu,after5,state.oracle_features,method_owned,list_metadata,,,,,,0,0,0,,104
DirBridge,cpu,after5,state.oracle_features[0],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890112,0,32,32,32,,0
DirBridge,cpu,after5,state.oracle_features[1],method_owned,tensor,"(8,)",torch.float32,cpu,94792447890304,0,32,32,32,,0
